J2000 E2000,,,,,,,,Multiplicity,,,,,,,,,,Names,,,,,,,,,,,,,,Positions,,,,,,,,,,,,,,,,,,,,,,,,,,,,Motions,,,,,,,,,Galactic Kinematics,,,,,,,,,,,,,GALEX photometry,,,,,SDSS photometry,,,,,,,,,,,,,,,,,,,,,TYCHO photometry,,,,Johnson-Kron-Cousins photometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIR,,,,,,,,,,,,,WISE photometry,,,,,,,,,,,,,,,,,,,X-ray photometry,,,,,,,Photometry Derived Parameters,,,,,,,,,,,,,,,Spectroscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Derived spectroscopic,,,,,,,,,,,,,,,Membership,,,,,,,,,,,,,,,,,,,,,,,,,,rawRV,,,,,,,,,,,,,,,,rawParallax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Notes,
Rah,Ram,Ras,DECf,DECd,DECm,DECs,Lithium,# stars,sepfrom,separation,position angle,date,period,separation ref,delta mag,filter,deltaMag ref,Name,TYCHO-2,GJ,HD,HR,CD,1RXS,UCAC4,PPMXL,2MASS ID,SDSS ID,WISE ID,YPC,HIP,Raraw,eRAraw,DECraw,eDECraw,EPOCH,position ref,RA,eRA,DEC,eDEC,pi,epi,pi ref,rv,erv,rv ref,radius-based dist.,radius-based dist. Ref,Cluster Parallax,Cluster Parallax ref.,dist,edist,dist method,distance ref,rv_pred,erv_pred,rv_pred method,rv_pred ref,pmRA,epmRA,pmDEC,epmDEC,pm ref,pm,epm,pa,epa,U,eU,V,eV,W,eW,X,eX,Y,eY,Z,eZ,kinematic ref,FUV,eFUV,NUV,eNUV,GALEX joint,u',eu',u' flag,u' ref,g',eg',g' flag,g' ref,r',er',r' flag,r' ref,i',ei',i' flag,i' ref,z',ez',z' flag,z' ref,SDSS joint,Bt,eBt,Vt,eVt,Uj,eUj,Uj flag,Uj ref,Bj,eBj,Bj flag,Bj ref,Vj,eVj,Vj flag,Vj ref,Rkc,eRkc,Rkc flag,Rkc ref,Ikc,eIkc,Ikc flag,Ikc ref,optical joint?,Zuk,eZuk,Zuk flag,Zuk ref,Yuk,eYuk,Yuk flag,Yuk ref,J,eJ,J flag,J ref,H,eH,H flag,H ref,K,eK,K flag,K ref,NIR joint?,W1,eW1,W1 flag,W1 ref,W2,eW2,W2 flag,W2 ref,W3,eW3,W3 flag,W3 ref,W4,eW4,W4 flag,W4 ref,WISE joint?,variability,variability filter,X-ray,X joint?,eX-ray,hr1,ehr1,hr2,ehr2,MV,B-V,V-K,V-I,J-K,EB-V,EB-V ref,Mbol,eMbol,Mbol ref,Lx,eLx,Lx/Lbol,Lx/Lbol flag,LUV/Lbol,SpType,SpType ref,SpType joint,Teff,eTeff,Teff ref,Teff 2,eTeff 2,Teff 2 Ref,Teff 3,eTeff 3,Teff 3 ref,Teff 4,eTeff 4,Teff 4 ref,vsini,evsini,vsini flag,vsini ref,vsini2,evsini2,vsini flag 2,vsini2 ref,vsini3,evsini3,vsini flag 3,vsini3 ref,CaH Index,eCaH Index,CaH ref,CaH-Narrow Index,eCaH-Narrow,CaH-Narrow ref,H-alpha EW,eH-alpha EW,H-alpha ref,H-alpha EW 2,eH-alpha EW2,H-alpha 2 ref,H-alpha EW 3,eH-alpha EW 3,H-alpha 3 ref,Li6708 EW,eLi6708 EW,Li6708 EW flag,Li6708 ref,Li6708 EW2,eLi6708 EW2,Li6708 EW flag2,Li6708 ref2,Li6708 EW3,eLi6708 EW 3,Li6708 flag3,Li6708 ref3,Li Abundance,Li Abundance REF,K7699 EW,eK7699 EW,K7699 ref,Na8200 EW,eNa8200 EW,Na8200 Index,eNa8200 Index,Na8200 ref,Fe/H,eFe/H,Fe/H ref,Ba/H,eBa/H,Ba/Fe ref,RHK,eRHK,RHK ref,log g,elog g,log g ref,log g 2,elog g 2,log g 2 ref,GROUP,GROUP quality,GROUP1,%Cert 1,GROUP1 ref,GROUP2,%Cert 2,GROUP2 ref,GROUP3,%Cert 3,GROUP3 ref,GROUP4,%Cert 4,GROUP4 ref,GROUP5,%Cert 5,GROUP5 ref,GROUP6,%Cert 6,GROUP6 ref,GROUP7,%Cert 7,GROUP7 ref,GROUP8,%Cert 8,GROUP8 ref,RV1,eRV1,RV1 ref,RV1 flag,RV2,eRV2,RV2 ref,RV2 flag,RV3,eRV3,RV3 ref,RV3 flag,RV4,eRV4,RV4 ref,RV4 flag,pi1,epi1,pi1ref,pi1flag,pi2,epi2,pi2ref,pi2flag,pi3,epi3,pi3ref,pi3flag,pi4,epi4,pi4ref,pi4flag,pi5,epi5,pi5ref,pi5flag,pi6,epi6,pi6ref,pi6flag,pi7,epi7,pi7ref,pi7flag,pi8,epi8,pi8ref,pi8flag,Notes,Notes2
09,39,51.400,-,21,34,17.00,X,,,,,,,,,,,BD-20 2977,6055-00346-1,,,,,,343-059198,,09395143-2134175, ,,,,144.9642753,10.00,-21.5715089,11.00,2451544.5000,UCAC4,144.9642753,10.00,-21.5715089,11.00,-----,-----,,18.30,1.00,D,,,,,,,,,,,,,-50.00,0.90,7.80,0.90,UCAC4,50.60,1.27,278.87,1.70,,,,,,,,,,,,,,,,,,,  ,,,,10.709,0.070,-,UCAC4,10.170,0.110,-,UCAC4,9.892,0.060,-,UCAC4,,,,,,,,,,,,,,11.067,0.060,-,UCAC4,10.28,,,Girard2011,,,,,,,,,,,,,,,,,,8.821,0.030,5,UCAC4,8.457,0.030,5,UCAC4,8.376,0.020,5,UCAC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-----,0.787,1.904,-----,0.445,,,,,,,,,,,G9V,De-Silva2013,,,,,,,,,,,,,,10.1,1.0,e,De-Silva2013,,,,,,,,,,,,,,,,,,,,,,,,260.00,,,De-Silva2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argus,,De-Silva2013,,,,,,,,,,,,,,,,,,,,,,18.30,1.00,De-Silva2013,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,41,08.460,-,61,38,19.30,,1,,,,,,,,,,J094108.5-613815,8941-01786-1,,304734,,,J094108.5-613815,142-025751,'6216077669277689555,09410845-6138191, ,J094108.42-613819.0,,,145.2851764,32.00,-61.6386623,35.00,2451544.5000,Hoeg2000,145.2851764,32.00,-61.6386623,35.00,-----,-----,,17.80,1.00,T,,,,,,,,,,,,,-17.10,4.50,11.20,4.20,Hoeg2000,20.44,6.16,303.22,6.43,,,,,,,,,,,,,,,,,,,  ,,,,10.902,0.110,-,UCAC4,10.228,0.040,-,UCAC4,9.996,0.060,-,UCAC4,,,,,,11.378,0.063,10.518,0.043,,,,,11.450,,,Girard2011,10.680,,,Girard2011,,,,,,,,,,,,,,,,,,8.873,0.020,5,UCAC4,8.389,0.020,5,UCAC4,8.275,0.030,5,UCAC4,,8.217,0.023,A,ALLWISE,8.243,0.019,A,ALLWISE,8.187,0.019,A,ALLWISE,8.045,0.139,B,ALLWISE,,,,0.16,,,,,,,-----,0.770,2.405,-----,0.598,,,,,,,,,,,,,,,,,,,,,,,,,,150.0,20.0,,Torres2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carina-Vela,,Makarov2000,,,,,,,,,,,,,,,,,,,,,,17.80,1.00,Torres2006,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,41,25.600,-,57,15,22.00,X,,,,,,,,,,,HD 302321,8593-02114-1,,,,,,164-033611,'6120188513724957635,09412564-5715217, ,J094125.62-571521.7,,,145.3568519,21.00,-57.2561094,18.00,2451544.5000,Hoeg2000,145.3568519,21.00,-57.2561094,18.00,-----,-----,,22.05,0.08,MM,,,,,,,,,,,,,-22.00,4.40,9.80,4.20,Hoeg2000,24.08,6.08,294.01,10.29,,,,,,,,,,,,,,,,,,,  ,,,,  ,,,, ,,,,9.470,0.010,q,UCAC4,,,,,,10.477,0.033,9.898,0.029,,,,,10.328,0.010,q,UCAC4,9.860,,,Girard2011,,,,,,,,,,,,,,,,,,8.727,0.020,5,UCAC4,8.476,0.050,5,UCAC4,8.416,0.020,5,UCAC4,,8.367,0.023,A,ALLWISE,8.390,0.020,A,ALLWISE,8.332,0.024,A,ALLWISE,8.283,0.198,B,ALLWISE,,,,,,,,,,,-----,0.468,1.444,-----,0.311,,,,,,,,-4.05,,,F8,Moor2013,,5950,,Moor2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.00,13,,Moor2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 Myr,,Moor2013,,,,,,,,,,,,,,,,,,,,,,20.40,2.30,Moor2013,P,22.10,0.40,Montes2001,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,35.430,-,62,28,35.10,,2,,,,,,,,,,J094239.3-622857,8945-01078-1,,,,,J094239.3-622857,138-026355,'6217534617544185951,09423526-6228346, ,J094235.02-622833.6,,,145.6468504,128.00,-62.4762505,132.00,2451544.5000,Hoeg2000,145.6468504,128.00,-62.4762505,132.00,-----,-----,,11.40,1.00,T,,,,,,,,,,,,,-155.10,5.20,75.00,4.80,Hoeg2000,172.28,7.08,295.81,1.37,,,,,,,,,,,,,,,,,,,  ,,,,12.477,0.030,-,UCAC4,11.174,0.030,-,UCAC4,10.504,0.030,-,UCAC4,,,,,,14.717,0.591,12.247,0.189,,,,,13.131,0.040,-,UCAC4,11.830,,,Girard2011,,,,,,,,,,,,,,,,,,8.972,0.030,5,UCAC4,8.350,0.060,5,UCAC4,8.146,0.020,5,UCAC4,,8.051,0.023,A,ALLWISE,8.053,0.020,A,ALLWISE,7.975,0.020,A,ALLWISE,7.805,0.128,B,ALLWISE,,,,0.08335,,,,,,,-----,1.301,3.684,-----,0.826,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,1.2,,Torres2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carina-Vela,,Makarov2000,,,,,,,,,,,,,,,,,,,,,,11.40,1.00,Torres2006,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,38.240,-,62,29,02.80,,2,A-B,1.3,,,,Malo2014a,,,,J09423823-6229028a,,,,,,,138-026360,,09423823-6229028, ,J094238.01-622901.8,,,145.6594324,19.00,-62.4840817,19.00,2451544.5000,UCAC4,145.6594324,19.00,-62.4840817,19.00,-----,-----,,11.70,0.20,M,,,,,30.0,1.0,kinematic,Malo2014a,,,,,-148.90,2.10,78.10,2.10,UCAC4,168.14,2.97,297.68,0.60,,,,,,,,,,,,,,,,,,,  ,,,,15.037,0.010,q,UCAC4,13.736,0.010,q,UCAC4,12.316,0.030,-,UCAC4,,,,,,  ,,,,,,,,15.804,0.010,q,UCAC4,14.410,,,Girard2011,,,,,11.820,0.050,,Malo2013,,,,,,,,,,10.213,0.030,5,UCAC4,9.660,0.030,5,UCAC4,9.293,0.020,5,UCAC4,,9.112,0.023,A,ALLWISE,8.943,0.020,A,ALLWISE,8.817,0.031,A,ALLWISE,9.051,0.437,C,ALLWISE,,,,,,,,,,,-----,1.394,5.117,2.590,0.920,,,,,,,,,,,M3.5,Malo2013,,,,,,,,,,,,,,4.1,, <,Malo2014a,,,,,,,,,,,,,,,-3.7,,Malo2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argus,,Argus,98.9,Malo2014a,Argus,97.2,Malo2013,,,,,,,,,,,,,,,,,,,11.70,0.20,Malo2014a,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,38.240,-,62,29,02.80,,0,A-B,1.3,,,,Malo2014a,,,,J09423823-6229028b,,,,,,,138-026360,,09423823-6229028, ,J094238.01-622901.8,,,145.6594324,19.00,-62.4840817,19.00,2451544.5000,UCAC4,145.6594324,19.00,-62.4840817,19.00,-----,-----,,11.70,0.20,M,,,,,30.0,1.0,kinematic,Malo2014a,,,,,-148.90,2.10,78.10,2.10,UCAC4,168.14,2.97,297.68,0.60,,,,,,,,,,,,,,,,,,,  ,,,,15.037,0.010,q,UCAC4,13.736,0.010,q,UCAC4,12.316,0.030,-,UCAC4,,,,,,  ,,,,,,,,15.804,0.010,q,UCAC4,14.410,,,Girard2011,,,,,11.820,0.050,,Malo2013,,,,,,,,,,10.213,0.030,5,UCAC4,9.660,0.030,5,UCAC4,9.293,0.020,5,UCAC4,,9.112,0.023,A,ALLWISE,8.943,0.020,A,ALLWISE,8.817,0.031,A,ALLWISE,9.051,0.437,C,ALLWISE,,,,,,,,,,,-----,1.394,5.117,2.590,0.920,,,,,,,,,,,M3.5,Malo2013,,,,,,,,,,,,,,4.1,, <,Malo2014a,,,,,,,,,,,,,,,-3.7,,Malo2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argus,,Argus,98.9,Malo2014a,Argus,97.2,Malo2013,,,,,,,,,,,,,,,,,,,11.70,0.20,Malo2014a,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,40.650,-,55,49,54.40,,2,,,,,,,,,,J094240.3-555001,8589-01882-1,,084330,,,J094240.3-555001,171-037405,'6122651756486980143,09424072-5549547, ,,,47625,145.6708110,0.63,-55.8321647,0.54,2448349.0625,vanLeeuwen2007,145.6701515,5.72,-55.8320078,5.45,23.25,0.72,v,11.56,0.08,TK,,,,,,,,,,,,,-152.42,0.65,64.58,0.62,vanLeeuwen2007,165.54,0.90,292.96,0.22,,,,,,,,,,,,,,,,,,,  ,,,,  ,,,, ,,,,7.416,0.010,-,UCAC4,,,,,,8.544,0.017,7.846,0.012,,,,,8.789,0.000,-,UCAC4,7.260,,,Girard2011,,,,,,,,,,,,,,,,,,6.132,0.030,5,UCAC4,5.898,0.040,35,UCAC4,5.733,0.020,5,UCAC4,J,,,,,,,,,,,,,,,,,,,,0.08369,,,,,,,4.092,1.529,1.527,-----,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.2,,Torres2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carina-Vela,,Makarov2000,,,,,,,,,,,,,,,,,,,,,,13.00,1.00,Torres2006,P,11.50,0.20,Kharchenko2007,P,,,,,,,,,23.25,0.72,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,40.990,-,55,49,55.80,,2,,,,,,,,,,J094240.3-555001,8589-01882-1,,084330,,,J094240.3-555001,171-037405,'6122651756486980143,09424072-5549547, ,,,47625,145.6708110,0.63,-55.8321647,0.54,2448349.0625,vanLeeuwen2007,145.6701515,5.72,-55.8320078,5.45,23.25,0.72,v,11.56,0.08,TK,,,,,,,,,,,,,-152.42,0.65,64.58,0.62,vanLeeuwen2007,165.54,0.90,292.96,0.22,,,,,,,,,,,,,,,,,,,  ,,,,  ,,,, ,,,,7.416,0.010,-,UCAC4,,,,,,8.544,0.017,7.846,0.012,,,,,8.789,0.000,-,UCAC4,7.260,,,Girard2011,,,,,,,,,,,,,,,,,,6.132,0.030,5,UCAC4,5.898,0.040,35,UCAC4,5.733,0.020,5,UCAC4,J,,,,,,,,,,,,,,,,,,,,0.08369,,,,,,,4.092,1.529,1.527,-----,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,1.2,,Torres2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carina-Vela,,Makarov2000,,,,,,,,,,,,,,,,,,,,,,13.00,1.00,Torres2006,P,11.50,0.20,Kharchenko2007,P,,,,,,,,,23.25,0.72,vanLeeuwen2007,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,41.570,-,77,27,13.00,X,0,A-B,43,,,,Murphy2012,,,,J09424157-7727130,,,,,,,,'6239740273725631418,09424157-7727130, ,J094241.46-772712.8,,,145.6732370,66.00,-77.4536330,66.00,2451544.5000,PPMXL,145.6732370,66.00,-77.4536330,66.00,-----,-----,,18.05,0.01,MM,,,,,,,,,,,,,-16.40,9.10,22.80,9.10,PPMXL,28.09,12.87,324.27,10.59,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.384,0.024,A,2MASS,11.787,0.022,A,2MASS,11.519,0.023,A,2MASS,,11.257,0.174,B,ALLWISE,11.124,0.021,A,ALLWISE,11.059,0.086,A,ALLWISE,9.335,--,U,ALLWISE,,,,,,,,,,,-----,-----,-----,-----,0.865,,,,,,,,,,,M4.5,Murphy2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7,1,Murphy2010,,,,,,,350.00,50,,Murphy2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eta Cha,No,Murphy2010,8-12 Myr,,Murphy2012,,,,,,,,,,,,,,,,,,,18.30,2.00,Murphy2010,P,18.00,0.90,Murphy2012,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,47.405,-,72,39,49.85,X,1,,,,,,,,,,TYC9217-0641,9217-00641-1,,,,,J094247.5-723945,087-018268,'6213787346970860682,09424742-7239499, ,J094247.35-723949.7,,,145.6975201,110.00,-72.6638472,114.00,2451544.5000,Hoeg2000,145.6975201,110.00,-72.6638472,114.00,-----,-----,,6.70,1.00,T,,,,,132.0,,kinematic,Torres 2008,,,,,-33.90,4.80,23.70,4.60,Hoeg2000,41.36,6.65,304.96,2.90,,,,,,,,,,,,,,,,,,,  ,,,,12.784,0.080,-,UCAC4,12.016,0.050,-,UCAC4,11.709,0.110,-,UCAC4,,,,,,13.242,0.337,12.474,0.223,,,,,13.239,0.070,-,UCAC4,12.343,0.040,-,UCAC4,,,,,#VALUE!,,,Torres2006,,,,,,,,,,10.442,0.020,5,UCAC4,10.001,0.020,5,UCAC4,9.824,0.020,5,UCAC4,,9.800,0.022,A,ALLWISE,9.814,0.019,A,ALLWISE,9.680,0.032,A,ALLWISE,9.740,0.519,C,ALLWISE,,,,8.34E-02,,1.77E-02,-0.11,0.21,0.41,0.31,-----,0.896,2.519,-----,0.618,,,,,,,,,,,K1V,De-Silva2013,,,,,5083,,Da-Silva2009,,,,,,,23.0,1.0,e,Da-Silva2009,23.4,2.3,,Torres2006,23.4,1.0,e,De-Silva2013,,,,,,,,,Torres2006,,,,,,,240.00,,,Da-Silva2009,,,,,,,,,2.47,Da-Silva2009,,,,,,,,,,,,,,,,,,,,,,,,Argus,,Argus,,De-Silva2013,Argus,100,Torres2008,,,,,,,,,,,,,,,,,,,6.70,1.00,Torres2006,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,42,49.621,-,77,26,40.79,X,2,A-B,43,,,,Murphy2012,,,,RXJ0942.7-7726,,,,,,,063-009467,'6239740195153645650,09424962-7726407, ,J094249.64-772640.5,,,145.7067859,13.00,-77.4446881,14.00,2451544.5000,UCAC4,145.7067859,13.00,-77.4446881,14.00,-----,-----,,19.90,0.44,MMCF,,,,,,,,,,,,,-23.40,1.30,19.60,1.30,UCAC4,30.52,1.84,309.95,0.61,,,,,,,,,,,,,,,,,,,  ,,,,14.218,0.070,-,UCAC4,12.879,0.030,-,UCAC4,12.113,0.010,-,UCAC4,,,,,,  ,,,,,,,,14.893,0.060,-,UCAC4,13.479,0.02,-,UCAC4,,,,,,,,,,,,,,,,,,10.367,0.020,5,UCAC4,9.681,0.020,5,UCAC4,9.463,0.020,5,UCAC4,,9.070,0.168,B,ALLWISE,9.334,0.021,A,ALLWISE,9.207,0.027,A,ALLWISE,8.698,0.257,B,ALLWISE,,,,,,,,,,,-----,1.414,4.016,-----,0.904,,,,,,,,-2.66,,,M1,Murphy2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3,1,Murphy2010,,,,,,,450.00,50,,Murphy2010,490,15,,Covino1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eta Cha,No,Murphy2010,8-12 Myr,,Murphy2012,,,,,,,,,,,,,,,,,,,19.10,2.00,Murphy2010,P,20.70,0.40,Murphy2012,P,16.40,2.00,Covino1997,P,18.50,0.60,FEROS,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,43,08.840,-,63,13,04.39,X,1,,,,,,,,,,CP-62 1293,8946-01225-1,,,,,J094310.9-631304,134-025056,'6217651603518328575,09430884-6313043, ,J094308.80-631304.0,,,145.7868203,32.00,-63.2178841,37.00,2451544.5000,Hoeg2000,145.7868203,32.00,-63.2178841,37.00,-----,-----,,21.80,0.10,T,,,,,77.0,,kinematic,Torres 2008,,,,,-34.90,4.50,25.00,4.20,Hoeg2000,42.93,6.16,305.62,2.16,,,,,,,,,,,,,,,,,,,  ,,,,10.998,0.300,-,UCAC4,10.282,0.070,-,UCAC4,10.044,0.020,-,UCAC4,,,,,,11.410,0.067,10.518,0.043,,,,,11.124,0.020,-,UCAC4,10.270,,,Girard2011,,,,,9.620,,,Torres2006,,,,,,,,,,9.049,0.020,5,UCAC4,8.682,0.050,5,UCAC4,8.596,0.020,5,UCAC4,,8.517,0.023,A,ALLWISE,8.539,0.019,A,ALLWISE,8.473,0.021,A,ALLWISE,8.380,0.197,B,ALLWISE,,0.423,,0.1563,,2.57E-02,-0.04,0.16,0.59,0.19,-----,0.854,1.674,0.650,0.453,,,,,,,,,,,G6V,,,,,,5481,,Da-Silva2009,,,,,,,35.0,1.0,e,Da-Silva2009,35.3,2.4,,Torres2006,,,,,,,,,,,,,Torres2006,,,,,,,215.00,,,Da-Silva2009,,,,,,,,,2.8,Da-Silva2009,,,,,,,,,,,,,,,,,,,,,,,,Carina,,Carina-Vela,,Makarov2000,Carina,100,Torres2008,,,,,,,,,,,,,,,,,,,21.80,0.10,Torres2006,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,44,54.224,-,12,20,54.43,,1,,,,,,,,,,NLTT 22503,,,,,,,389-050675,'3634056668618091029,09445422-1220544, ,J094453.94-122053.9,,,146.2257777,100.00,-12.3484798,100.00,2451544.5000,UCAC4,146.2257777,100.00,-12.3484798,100.00,-----,-----,,13.50,0.40,M,,,,,12.0,1.0,kinematic,Malo2013,,,,,-331.10,8.00,30.90,8.00,UCAC4,332.54,11.31,275.33,2.49,,,,,,,,,,,,,,,,,,,  ,,,,14.495,0.110,-,UCAC4,13.125,0.100,-,UCAC4,11.174,0.060,-,UCAC4,,,,,,  ,,,,,,,,15.366,0.270,-,UCAC4,13.750,0.110,-,UCAC4,,,,,10.390,0.000,,Malo2013,,,,,,,,,,8.496,0.020,5,UCAC4,7.919,0.020,5,UCAC4,7.601,0.020,5,UCAC4,,7.359,0.034,A,ALLWISE,7.194,0.020,A,ALLWISE,7.057,0.017,A,ALLWISE,7.034,0.109,A,ALLWISE,,,,,,,,,,,-----,1.616,6.149,3.360,0.895,,,,,,28.63,0.14,,,,M5V,Malo2013,,2850,25,Malo2014b,,,,,,,,,,36.0,2.8,,Malo2014a,,,,,,,,,,,,,,,-15.3,,Malo2013,,,,,,,41.25,,u,Malo2014b,,,,,,,,,,,,,,,,,,,0.00,0.31,Malo2014b,,,,,,,4.50,0.18,Malo2014b,,,,Argus,,Argus,99.9,Malo2014b,Argus,99.9,Malo2013,Argus,99.9,Malo2014a,,,,,,,,,,,,,,,,13.50,0.40,Malo2014a,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,45,58.430,-,32,53,29.90,,,,,,,,,,,,09455843-3253299,,,,,,,,'3489825339834053295,09455843-3253299, ,,,,146.4933720,115.00,-32.8915970,115.00,2451544.5000,PPMXL,146.4933720,115.00,-32.8915970,115.00,-----,-----,,-----,-----,,,,,,,,,,,,,,-299.30,15.50,155.40,15.50,PPMXL,337.24,21.92,297.44,2.26,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.204,0.024,A,2MASS,8.603,0.031,A,2MASS,8.279,0.026,A,2MASS,,8.090,,,Gagne2014d,7.910,,,Gagne2014d,,,,,,,,,,,,,,,,,,,-----,-----,-----,-----,0.925,,,,,,,,,,,M4.5,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Argus,71.5,Gagne2014d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
09,46,42.470,-,62,42,34.20,,1,,,,,,,,,,J094644.6-624246,8946-00497-1,,085026,,,J094644.6-624246,137-026316,'6217512998961620921,09464244-6242339, ,J094642.42-624233.9,,,146.6768840,5.00,-62.7094731,5.00,2451544.5000,Hoeg2000,146.6768840,5.00,-62.7094731,5.00,-----,-----,,-----,-----,,,,,,,,,,,,,,-16.60,1.50,10.80,1.50,Hoeg2000,19.80,2.12,303.05,2.57,,,,,,,,,,,,,,,,,,,  ,,,,9.927,0.010,q,UCAC4,9.180,0.010,q,UCAC4,8.303,0.010,q,UCAC4,,,,,,8.014,0.015,7.764,0.010,,,,,7.880,,,Girard2011,7.680,,,Girard2011,,,,,,,,,,,,,,,,,,7.280,0.030,5,UCAC4,7.194,0.050,5,UCAC4,7.134,0.020,5,UCAC4,,7.004,0.047,A,ALLWISE,7.111,0.020,A,ALLWISE,7.125,0.016,A,ALLWISE,7.105,0.074,A,ALLWISE,,,,0.06534,,,,,,,-----,0.200,0.546,-----,0.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carina-Vela,,Makarov2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
